longitude;latitude;Road name;Culvert material;Overall condition;Height (in.);Width (in.);Length (ft.);Culvert type
-72.064055186;44.374348231;KEYSER HILL RD;Steel Corrugated;Excellent;18;18;36;Round
-72.311560587;44.393511727;WHITTIER HILL RD;Plastic Corrugated;Good;15;15;43;Round
-72.62324037;43.242357135;POPPLE DUNGEON RD;Steel Corrugated;Fair;36;36;55;Round
-72.678335616;44.591415352;UPPER FRENCH HILL RD;Steel Corrugated;Excellent;18;18;40;Round
-72.683717198;43.798972932;LILLIESVILLE RD;Steel Corrugated;Good;18;18;36;Round
-72.6886687;44.89539258;LONGLEY BRIDGE RD;Plastic Corrugated;Good;24;24;49;Round
-72.057846705;44.54157652;FALL BROOK RD;Steel Corrugated;Fair;15;15;32;Round
-72.412270189;43.835859212;CROSS RD;Steel Corrugated;Good;15;15;36;Round
-72.565781475;44.604841741;TENNEY HILL RD;Steel Corrugated;Fair;15;15;40;Round
-73.191561699;44.388240257;BEAVER CREEK RD;Plastic Corrugated;Good;12;12;20;Round
-72.478367067;43.767358081;MOORE RD;Plastic Corrugated;Good;24;24;50;Round
-72.258687211;44.511615491;ORTON RD;Steel Corrugated;Good;24;24;40;Round
-72.151478104;44.739733357;PAGEANT PK RD;Plastic Corrugated;Excellent;18;18;26;Round
-72.686377543;44.680028062;CODDING HOLLOW RD;Steel Corrugated;Fair;16;16;28;Round
-72.497999494;43.531700539;JENNEVILLE RD;Plastic Corrugated;Good;18;18;30;Round
-71.949427585;44.422744412;LEE FARM RD;Steel Corrugated;Good;48;48;40;Round
-72.169370589;44.154925585;SWAMP RD;Steel Corrugated;Poor;12;12;40;Round
-72.666778;44.257636;WARD BROOK RD;Plastic Corrugated;Good;18;18;40;Round
-73.130647099;44.74869475;POLLY HUBBARD RD;Steel Corrugated;Closed;999999;999999;999999;Round
-73.133525498;43.046828507;SOUTH RD;Other;Unknown;12;12;30;Round
-73.260851184;42.974713297;MURPHY HILL RD;"Aluminum, wrought iron, or cast iron";Good;36;36;34;Round
-73.21824601;43.232657796;KENT HOLLOW RD;Other;Excellent;18;18;40;Other
-72.804159316;44.189034054;JOSLIN HILL RD;Steel Corrugated;Poor;24;24;35;Round
-72.213857426;44.162573337;CLARKS XRD;Steel Corrugated;Fair;18;18;30;Round
-73.017824;44.399356;HINESBURG RD;Plastic Corrugated;Unknown;18;18;30;Round
-72.53911161;43.845482148;HAPPY HOLLOW RD;Steel Corrugated;Good;12;12;25;Round
-72.538575617;43.056428875;FELLOWS RD;Steel Corrugated;Fair;15;15;19;Unknown
-72.576066193;44.657354883;N HYDE PARK RD;Plastic Smooth;Critical;24;24;50;Round
-72.776305475;43.258633948;PIPER HILL RD;Steel Corrugated;Good;18;18;48;Round
-72.586321025;43.79814891;DAVIS RD;Steel Corrugated;Fair;18;18;20;Round
-72.67500195;44.531841348;COLE HILL RD;Steel Corrugated;Fair;18;18;40;Round
-72.645530359;43.408928514;TWENTY MILE STREAM RD;Plastic Corrugated;Good;24;24;40;Round
-72.143765558;44.883104815;BUSHEY HILL RD;Steel Corrugated;Good;24;24;34;Ellipse/Squashed
-73.040338425;44.594964282;WOODS HOLLOW RD;Steel Corrugated;Urgent;18;18;30;Round
-73.312665463;44.91585424;WEST SHORE RD;Steel Corrugated;Fair;15;15;25;Round
-72.775807755;43.002269809;E DOVER RD;Plastic Smooth;Good;18;18;40;Round
-71.91715869;44.590986835;MOUNTAIN RD;Steel Corrugated;Good;72;72;100;Ellipse/Squashed
-72.781373415;43.894118926;EDWINS POND RD;Steel Corrugated;Fair;15;15;40;Round
-72.814155469;43.113411934;W HILL RD S;Steel Corrugated;Good;15;15;40;Round
-73.047994;43.766286;HAWK VIEW RD;Steel Corrugated;Good;24;24;33;Round
-72.230454989;43.836803254;MUD POND RD;Plastic Smooth;Good;18;18;40;Round
-72.706264049;44.92470047;PERLEY RD;Plastic Corrugated;Excellent;18;18;50;Round
-72.886285033;43.049017329;CANEDY RD;Plastic Smooth;Good;18;18;20;Round
-72.960304369;42.748340405;BILL T DR;Plastic Smooth;Good;15;15;30;Round
-72.637951047;44.15557921;TURKEY HILL RD;Other;Closed;15;15;32;Other
-72.237072584;44.950364599;LAKE RD;Plastic Smooth;Good;18;18;30;Round
-73.214096121;45.006554942;ALBURGH SPRINGS RD;Steel Corrugated;Good;18;18;50;Round
-72.200187351;43.838069424;SCHOOLHOUSE HILL RD;Steel Corrugated;Good;90;155;40;Ellipse/Squashed
-72.141806454;44.123297875;SCOTCH HOLLOW RD;Steel Corrugated;Fair;15;15;35;Round
-72.042832613;44.577217801;MATHEWSON HILL RD;Steel Corrugated;Good;15;15;30;Round
-72.551177843;42.787997094;FRANKLIN RD;Plastic Smooth;Good;18;18;60;Round
-72.32470246;43.745264807;TURNPIKE RD;Plastic Corrugated;Good;24;24;40;Round
-72.213950225;43.886386736;QUINIBECK RD;Steel Corrugated;Unknown;18;18;30;Round
-72.225974045;44.393453716;YOUNG FARM RD;Steel Corrugated;Good;36;36;30;Round
-72.961875874;44.489152685;PACKARD RD;Steel Corrugated;Good;36;36;40;Round
-71.978262943;44.435155149;SPAULDING RD;Plastic Smooth;Excellent;18;18;40;Round
-72.931585;42.745304;BOSLEY HILL RD;Steel Corrugated;Fair;12;12;45;Round
-72.941695292;43.193664297;UPPER FRENCH HOLLOW RD;Steel Corrugated;Critical;18;18;30;Round
-72.519537308;43.682060705;RUDGE RD;Plastic Smooth;Good;18;18;40;Round
-72.599726673;43.860915826;CHRISTIAN HILL RD;Plastic Smooth;Good;18;18;30;Round
-73.074314622;43.180592852;POWDERHORN RD;Plastic Corrugated;Excellent;18;18;30;Round
-72.683017383;44.751874303;BOG RD;Steel Corrugated;Poor;18;18;40;Round
-71.929666624;44.344674783;LOWER WATERFORD RD;Plastic Smooth;Good;18;18;60;Round
-72.815835166;44.173831938;PALMER LN;Aluminum Corrugated;Fair;15;15;40;Round
-72.623007391;44.633637049;BARNES RD;Plastic Corrugated;Good;15;15;40;Round
-73.360555107;43.711699942;LAKE RD;Plastic Corrugated;Good;15;15;20;Round
-72.580892285;43.073783994;BROOKLINE RD;Steel Corrugated;Poor;48;48;26;Round
-72.774598876;43.229439588;LITTLE POND RD;Steel Corrugated;Poor;15;15;50;Round
-73.11458284;43.092959102;FLYNN HOLLOW RD;Plastic Corrugated;Good;15;15;30;Round
-72.758833632;44.663035848;HOGBACK RD;Plastic Corrugated;Fair;24;24;50;Round
-72.876247931;43.259275819;HAPGOOD POND RD;Steel Corrugated;Excellent;24;24;60;Round
-72.87135199;44.83729051;CHESTER A ARTHUR RD;Steel Corrugated;Fair;12;12;38;Round
-72.645625279;44.257484218;JONES BROOK RD;Steel Corrugated;Good;15;15;35;Round
-73.22454507;44.3696578;MOUNT PHILO RD;Steel Corrugated;Good;18;18;25;Round
-72.4723;43.47245;BROWNSVILLE HARTLAND RD;Steel Corrugated;Good;24;24;50;Round
-72.026837455;44.924569861;CHAMPIGNY RD;Steel Corrugated;Fair;12;12;36;Round
-72.745034215;43.474934176;PATCH BROOK RD;Plastic Corrugated;Good;15;15;30;Round
-72.684415447;42.945819157;BAKER BROOK RD;Plastic Smooth;Excellent;18;18;36;Round
-72.483467;43.507834;BLOOD HILL RD;Steel Corrugated;Good;12;12;28;Round
-72.083370334;44.275398847;PEARLMONT RD;Steel Corrugated;Poor;15;15;25;Round
-72.774360126;42.821416219;HATCH SCHOOL RD;Plastic Smooth;Good;18;18;40;Round
-72.703467;44.296549;LOVERS LN;Steel Corrugated;Good;18;18;29;Round
-72.450083119;44.524145728;GATES FARM RD;Steel Corrugated;Good;15;15;30;Round
-72.719133131;44.540157066;STERLING GORGE RD;Plastic Corrugated;Good;15;15;20;Round
-73.07719;43.543147;WEST RD;Plastic Smooth;Good;18;18;35;Round
-72.706605684;43.047024519;STATE FOREST RD;Plastic Smooth;Good;18;18;30;Round
-71.591413095;44.959464616;CLAY BROOK RD;Steel Corrugated;Fair;15;15;25;Round
-72.547603489;44.727455572;WARREN RD;Steel Corrugated;Critical;12;12;38;Round
-73.100403201;44.600234444;DUFFY RD;Plastic Corrugated;Good;24;24;40;Round
-73.306119828;44.953446787;WEST SHORE RD;Steel Corrugated;Good;24;24;40;Round
-72.616118707;43.18621408;HOUGHTONVILLE RD;Steel Corrugated;Poor;15;15;20;Round
-73.081774;44.121537;LOWER NOTCH RD;Plastic Corrugated;Good;15;15;46;Round
-72.529887285;43.537172057;MORGAN HILL RD;Plastic Smooth;Good;12;12;40;Round
-72.696319843;44.672108778;GILCRIS RD;Steel Corrugated;Good;16;16;34;Round
-72.607872946;42.912611614;RICE FARM RD;"Pipe, Plastic";Excellent;18;18;30;Round
-72.401497365;44.199875642;RESERVOIR RD;Plastic Corrugated;Poor;18;18;45;Round
-72.194140391;44.458589288;CAHOON FARM RD;Steel Corrugated;Fair;12;12;30;Round
-72.573701;43.976029;NORTH RANDOLPH RD;Plastic Corrugated;Good;24;24;50;Round
-72.593500595;43.468679823;GRASSHOPPER LN;Steel Corrugated;Good;15;15;30;Round
-73.226856468;42.813613412;CARPENTER HILL RD;Steel Corrugated;Good;18;18;34;Round
-72.17996471;44.320218546;GREEN BAY LOOP;Steel Corrugated;Good;12;12;40;Round
-72.274382612;43.859611506;COLBY RD S;Plastic Smooth;Excellent;36;36;40;Round
-73.227127791;44.371009971;TIMBER LN;Plastic Corrugated;Good;15;15;60;Round
-72.582722498;43.425293637;OLD COUNTY RD;Steel Corrugated;Good;12;12;34;Round
-72.600429337;43.121943812;ROUTE 35;Steel Corrugated;Poor;42;42;180;Round
-72.780848326;43.895983282;EDWINS POND RD;Steel Corrugated;Fair;24;24;40;Round
